[ 2016-09-05T09:19:16+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-09-05T10:11:57+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:11:57+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:11:57+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.004000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.002000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.002000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.001000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.002000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.003001s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.002000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.003000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.015001s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.001000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.002000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SELECT `role_id` FROM `sk_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_access` [ RunTime:0.002000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SELECT `node_id` FROM `sk_access` WHERE role_id=8  [ RunTime:0.000000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SHOW COLUMNS FROM `sk_node` [ RunTime:0.003000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | SQL: SELECT `id`,`action`,`action_name`,`module`,`module_name`,`data` FROM `sk_node` WHERE auth_type<>2 AND status=1 AND is_show=0 AND group_id=35 ORDER BY sort DESC  [ RunTime:0.000000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Tag[ view_template ] --START--
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Run LocationTemplate Behavior [ RunTime:0.001001s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001001s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Tag[ view_parse ] --START--
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Run ParseTemplate Behavior [ RunTime:0.005000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Tag[ view_filter ] --START--
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Tag[ view_end ] --START--
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:11:58+08:00 ] /hz/index.php?a=menu&m=public&tag=35 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-05T10:12:00+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ app_begin ] --START--
[ 2016-09-05T10:12:00+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:00+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:12:00+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.003001s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.001000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SELECT `role_id` FROM `sk_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_access` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SELECT `node_id` FROM `sk_access` WHERE role_id=8  [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SHOW COLUMNS FROM `sk_node` [ RunTime:0.005001s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | SQL: SELECT `id`,`action`,`action_name`,`module`,`module_name`,`data` FROM `sk_node` WHERE auth_type<>2 AND status=1 AND is_show=0 AND group_id=37 ORDER BY sort DESC  [ RunTime:0.001000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ view_template ] --START--
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ view_parse ] --START--
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Run ParseTemplate Behavior [ RunTime:0.004000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ view_filter ] --START--
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ view_end ] --START--
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:01+08:00 ] /hz/index.php?a=menu&m=public&tag=37 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-05T10:12:02+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ app_begin ] --START--
[ 2016-09-05T10:12:02+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:02+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:12:02+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.002001s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SELECT `role_id` FROM `sk_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_access` [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SELECT `node_id` FROM `sk_access` WHERE role_id=8  [ RunTime:0.000000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_node` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SELECT `id`,`action`,`action_name`,`module`,`module_name`,`data` FROM `sk_node` WHERE auth_type<>2 AND status=1 AND is_show=0 AND group_id=8 ORDER BY sort DESC  [ RunTime:0.000000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ view_template ] --START--
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ view_parse ] --START--
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run ParseTemplate Behavior [ RunTime:0.004001s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004001s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ view_filter ] --START--
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ view_end ] --START--
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:12:03+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-09-05T10:12:04+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ app_begin ] --START--
[ 2016-09-05T10:12:04+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:12:04+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:12:04+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.001000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.001000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.001000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.001000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SELECT `role_id` FROM `sk_admin` WHERE id=1 LIMIT 1   [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_access` [ RunTime:0.001000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SELECT `node_id` FROM `sk_access` WHERE role_id=8  [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SHOW COLUMNS FROM `sk_node` [ RunTime:0.002000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | SQL: SELECT `id`,`action`,`action_name`,`module`,`module_name`,`data` FROM `sk_node` WHERE auth_type<>2 AND status=1 AND is_show=0 AND group_id=31 ORDER BY sort DESC  [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_template ] --START--
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_parse ] --START--
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | NOTIC: [8] Undefined variable: lang 7cb575b33561d89a8912b1581f6b6fb7.php 第 1 行.
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run ParseTemplate Behavior [ RunTime:0.005000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_filter ] --START--
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_end ] --START--
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:12:05+08:00 ] /hz/index.php?a=menu&m=public&tag=31 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-05T10:13:20+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ app_begin ] --START--
[ 2016-09-05T10:13:20+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-05T10:13:20+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2016-09-05T10:13:20+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-09-05T10:13:21+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.002000s ]
[ 2016-09-05T10:13:21+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.002000s ]
[ 2016-09-05T10:13:21+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.001000s ]
[ 2016-09-05T10:13:21+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.001000s ]
[ 2016-09-05T10:13:21+08:00 ] /hz/index.php?a=menu&m=public&tag=8 | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.002000s ]
