[ 2016-09-12T09:27:05+08:00 ] /hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-09-12T09:27:14+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-12T09:27:14+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-12T09:27:14+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-12T09:27:14+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2016-09-12T09:27:14+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_end ] --START--
[ 2016-09-12T09:27:14+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-12T09:27:14+08:00 ] /hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ app_begin ] --START--
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Run CheckLang Behavior [ RunTime:0.001000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.013000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.003000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.003001s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.002000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.003000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.003000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.003000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.001000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.002000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.003001s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ view_template ] --START--
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ view_parse ] --START--
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Run ParseTemplate Behavior [ RunTime:0.020001s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020001s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ view_filter ] --START--
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ view_end ] --START--
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-09-12T09:27:21+08:00 ] /hz/index.php?a=test&m=goods | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.003500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.002500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.003000s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.003001s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.004000s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.002501s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.002500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 80 行.
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 39 行.
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.002500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 43 行.
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id= LIMIT 1   [ RunTime:0.000500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.002501s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.013001s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.002501s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.002501s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.021002s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.021002s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.021003s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021503s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.000500s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=verify&m=verify&rand=1473644482 | INFO: Tag[ app_begin ] --START--
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=verify&m=verify&rand=1473644482 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=verify&m=verify&rand=1473644482 | INFO: Run CheckLang Behavior [ RunTime:0.003000s ]
[ 2016-09-12T09:41:22+08:00 ] http://127.0.0.1/hz/index.php?a=verify&m=verify&rand=1473644482 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Run CheckLang Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.005001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.005500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.004500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.005001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.010001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.004501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.007501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.001000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.006001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.006001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.001000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ view_template ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ view_parse ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | NOTIC: [8] Undefined variable: lang 61acf2961088e1c8be817cc708b9bd0a.php 第 38 行.
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Run ParseTemplate Behavior [ RunTime:0.007501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ view_filter ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Run ContentReplace Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Run TokenBuild Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ view_end ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=index&m=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ app_begin ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Run CheckLang Behavior [ RunTime:0.003501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.006001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.006001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.002500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.008501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.005001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.005001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.007501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.004001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.009001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | SQL: select version() as ver [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ view_template ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.001500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ view_parse ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | NOTIC: [8] Undefined variable: sub_menu 39668b7739752a70dba9b6d72f8d0b27.php 第 41 行.
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | NOTIC: [8] Undefined variable: big_menu 39668b7739752a70dba9b6d72f8d0b27.php 第 41 行.
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.015002s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015002s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ view_filter ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ view_end ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.001001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=main&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.001001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ app_begin ] --START--
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | INFO: Run CheckLang Behavior [ RunTime:0.001500s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.004000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.005501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.005501s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.003000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.003001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.003000s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.008001s ]
[ 2016-09-12T09:41:35+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.001001s ]
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.022502s ]
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.001500s ]
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.008001s ]
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000500s ]
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.007001s ]
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SELECT `role_id` FROM `sk_admin` WHERE id=1 LIMIT 1   [ RunTime:0.001000s ]
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_access` [ RunTime:0.006001s ]
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SELECT `node_id` FROM `sk_access` WHERE role_id=8  [ RunTime:0.001500s ]
[ 2016-09-12T09:41:36+08:00 ] http://127.0.0.1/hz/index.php?a=menu&m=public&tag=0 | SQL: SHOW COLUMNS FROM `sk_node` [ RunTime:0.009501s ]
